kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
cumulative,0,3600000,439,19,943,59,168,716,-1/90,-1/2,35/72
cumulative,0,3600000,443,23,936,58,180,698,4/45,1/3,-2/9
cumulative,0,3600000,449,29,923,58,175,690,-1/18,1/18,-1/8
cumulative,0,3600000,457,7,907,57,172,678,-1/18,1/18,-1/8
cumulative,0,3600000,461,11,898,55,171,672,1/5,1/3,-1/12
cumulative,0,3600000,463,13,895,56,170,669,-1/90,1/9,-1/8
cumulative,0,3600000,467,17,887,54,169,664,23/90,7/18,-5/72
cumulative,0,3600000,479,29,859,54,165,640,-1/18,1/6,-17/72
cumulative,0,3600000,487,7,845,54,160,631,-19/90,-1/9,-11/72
cumulative,0,3600000,491,11,840,55,159,626,-4/9,-1/3,-2/9
cumulative,0,3600000,499,19,827,50,148,629,3/10,-1/9,35/72
cumulative,0,3600000,503,23,819,51,153,615,1/30,0,1/24
cumulative,0,3600000,509,29,811,49,157,605,3/10,5/9,-13/72
cumulative,0,3600000,521,11,790,50,150,590,-1/9,0,-5/36
cumulative,0,3600000,523,13,787,51,150,586,-29/90,-1/6,-17/72
cumulative,0,3600000,541,1,757,44,138,575,53/90,1/3,29/72
cumulative,0,3600000,547,7,751,48,143,560,-17/90,-1/18,-13/72
cumulative,0,3600000,557,17,736,51,135,550,-8/9,-1,-1/9
cumulative,0,3600000,563,23,730,42,143,545,29/45,17/18,-5/36
cumulative,0,3600000,569,29,719,43,137,539,31/90,4/9,-1/72
cumulative,0,3600000,571,1,715,44,128,543,11/90,-2/9,3/8
cumulative,0,3600000,577,7,705,43,136,526,17/90,7/18,-11/72
cumulative,0,3600000,587,17,692,39,135,518,34/45,1,-1/18
cumulative,0,3600000,593,23,683,41,131,511,3/10,4/9,-5/72
cumulative,0,3600000,599,29,675,43,127,505,-13/90,-1/9,-5/72
cumulative,0,3600000,601,1,673,37,125,511,9/10,7/9,25/72
cumulative,0,3600000,607,7,668,44,125,499,-2/5,-7/18,-1/9
cumulative,0,3600000,613,13,661,41,126,494,1/18,1/6,-7/72
cumulative,0,3600000,617,17,652,39,124,489,14/45,7/18,0
cumulative,0,3600000,619,19,649,40,116,493,1/10,-2/9,25/72
cumulative,0,3600000,631,1,636,40,112,484,-2/45,-4/9,7/18
cumulative,0,3600000,641,11,622,39,119,464,-1/45,1/9,-5/36
cumulative,0,3600000,643,13,621,39,119,463,-1/30,1/9,-11/72
cumulative,0,3600000,647,17,616,38,117,461,4/45,1/6,-1/18
cumulative,0,3600000,653,23,609,42,112,455,-7/10,-7/9,-7/72
cumulative,0,3600000,659,29,601,40,112,449,-13/30,-4/9,-7/72
cumulative,0,3600000,661,1,599,34,108,457,11/18,1/3,31/72
cumulative,0,3600000,673,13,585,37,112,436,-7/90,1/18,-11/72
cumulative,0,3600000,677,17,581,39,107,435,-43/90,-5/9,-1/24
cumulative,0,3600000,683,23,574,32,110,432,31/45,7/9,1/12
cumulative,0,3600000,691,1,568,36,102,430,-4/45,-1/3,2/9
cumulative,0,3600000,701,11,559,31,110,418,7/10,17/18,-5/72
cumulative,0,3600000,709,19,551,32,101,418,13/30,5/18,19/72
cumulative,0,3600000,719,29,542,31,103,408,23/45,5/9,1/12
cumulative,0,3600000,727,7,533,35,100,398,-3/10,-5/18,-7/72
cumulative,0,3600000,733,13,526,32,101,393,7/45,5/18,-1/12
cumulative,0,3600000,739,19,521,32,94,395,1/10,-1/9,17/72
cumulative,0,3600000,743,23,518,33,98,387,-1/9,-1/18,-1/12
cumulative,0,3600000,751,1,512,33,89,390,-8/45,-5/9,1/3
cumulative,0,3600000,757,7,506,30,99,377,13/45,1/2,-5/36
cumulative,0,3600000,761,11,503,34,93,376,-41/90,-1/2,-5/72
cumulative,0,3600000,769,19,497,25,93,379,97/90,1,25/72
cumulative,0,3600000,773,23,493,34,90,369,-17/30,-2/3,-1/24
cumulative,0,3600000,787,7,481,29,94,358,17/90,7/18,-11/72
cumulative,0,3600000,797,17,473,31,86,356,-23/90,-7/18,5/72
cumulative,0,3600000,809,29,464,30,90,344,-8/45,0,-2/9
cumulative,0,3600000,811,1,461,30,79,352,-19/90,-11/18,25/72
cumulative,0,3600000,821,11,455,28,88,339,7/90,2/9,-1/8
cumulative,0,3600000,823,13,454,28,88,338,1/15,2/9,-5/36
cumulative,0,3600000,827,17,450,25,86,339,5/9,11/18,1/12
cumulative,0,3600000,829,19,448,26,82,340,16/45,2/9,2/9
cumulative,0,3600000,839,29,443,24,90,329,59/90,1,-13/72
cumulative,0,3600000,853,13,431,27,82,322,-1/90,1/18,-5/72
cumulative,0,3600000,857,17,426,25,81,320,13/45,1/3,1/36
cumulative,0,3600000,859,19,425,27,75,323,-7/90,-1/3,17/72
cumulative,0,3600000,863,23,423,29,76,318,-41/90,-11/18,1/24
cumulative,0,3600000,877,7,414,26,80,308,-1/45,1/9,-5/36
cumulative,0,3600000,881,11,410,26,79,305,-1/15,1/18,-5/36
cumulative,0,3600000,883,13,408,24,80,304,4/15,4/9,-1/9
cumulative,0,3600000,887,17,406,27,73,306,-13/45,-4/9,1/12
cumulative,0,3600000,907,7,394,21,79,294,29/45,8/9,-1/12
cumulative,0,3600000,911,11,392,21,78,293,28/45,5/6,-1/18
cumulative,0,3600000,919,19,385,24,69,292,1/90,-1/6,13/72
cumulative,0,3600000,929,29,378,21,74,283,7/15,11/18,-1/36
cumulative,0,3600000,937,7,373,26,67,280,-43/90,-11/18,1/72
cumulative,0,3600000,941,11,371,24,69,278,-13/90,-1/6,-1/72
cumulative,0,3600000,947,17,367,20,71,276,47/90,11/18,1/24
cumulative,0,3600000,953,23,363,22,67,274,11/90,1/18,7/72
cumulative,0,3600000,967,7,356,21,67,268,2/9,2/9,1/18
cumulative,0,3600000,971,11,353,26,62,265,-7/10,-8/9,1/72
cumulative,0,3600000,977,17,349,21,66,262,13/90,1/6,1/72
cumulative,0,3600000,983,23,345,23,62,260,-23/90,-7/18,5/72
cumulative,0,3600000,991,1,341,23,64,254,-3/10,-5/18,-7/72
cumulative,0,3600000,997,7,336,19,63,254,16/45,1/3,1/9
cumulative,0,3600000,1009,19,330,18,66,246,7/15,2/3,-1/12
cumulative,0,3600000,1013,23,327,19,61,247,23/90,2/9,7/72
cumulative,0,3600000,1019,29,322,23,59,240,-23/45,-5/9,-1/12
cumulative,0,3600000,1021,1,319,21,59,239,-17/90,-2/9,-1/72
cumulative,0,3600000,1031,11,315,17,64,234,43/90,13/18,-1/8
cumulative,0,3600000,1033,13,313,22,55,236,-13/30,-11/18,5/72
cumulative,0,3600000,1039,19,310,19,57,234,1/15,0,1/12
cumulative,0,3600000,1049,29,304,18,59,227,8/45,5/18,-1/18
cumulative,0,3600000,1051,1,303,19,56,228,-1/90,-1/18,1/24
cumulative,0,3600000,1061,11,300,19,57,224,-2/45,0,-1/18
cumulative,0,3600000,1063,13,297,17,56,224,5/18,5/18,5/72
cumulative,0,3600000,1069,19,294,19,54,221,-1/9,-1/6,1/36
cumulative,0,3600000,1087,7,284,15,54,215,22/45,1/2,1/9
cumulative,0,3600000,1091,11,281,20,51,210,-13/30,-1/2,-1/24
cumulative,0,3600000,1093,13,279,16,51,212,23/90,1/6,11/72
cumulative,0,3600000,1097,17,278,18,54,206,-1/9,0,-5/36
cumulative,0,3600000,1103,23,276,19,52,205,-14/45,-5/18,-1/9
cumulative,0,3600000,1109,29,271,17,51,203,-1/90,0,-1/72
cumulative,0,3600000,1117,7,269,14,51,204,1/2,1/2,1/8
cumulative,0,3600000,1123,13,265,16,47,202,1/10,-1/18,13/72
cumulative,0,3600000,1129,19,262,15,50,197,11/45,5/18,1/36
cumulative,0,3600000,1151,11,255,14,50,191,31/90,4/9,-1/72
cumulative,0,3600000,1153,13,254,17,43,194,-1/5,-4/9,7/36
cumulative,0,3600000,1163,23,250,15,51,184,1/9,1/3,-7/36
cumulative,0,3600000,1171,1,246,16,43,187,-1/9,-5/18,5/36
cumulative,0,3600000,1181,11,242,15,46,181,1/45,1/18,-1/36
cumulative,0,3600000,1187,17,239,13,51,175,31/90,2/3,-17/72
cumulative,0,3600000,1193,23,236,15,47,174,-2/45,1/9,-1/6
cumulative,0,3600000,1201,1,232,10,44,178,4/5,7/9,2/9
cumulative,0,3600000,1213,13,229,12,45,172,37/90,1/2,1/72
cumulative,0,3600000,1217,17,227,14,46,167,1/30,2/9,-13/72
cumulative,0,3600000,1223,23,224,16,42,166,-16/45,-1/3,-1/9
cumulative,0,3600000,1229,29,222,14,41,167,-1/45,-1/18,1/36
cumulative,0,3600000,1231,1,220,14,38,168,-2/45,-2/9,1/6
cumulative,0,3600000,1237,7,218,10,44,164,29/45,7/9,1/36
cumulative,0,3600000,1249,19,213,9,42,162,23/30,5/6,1/8
cumulative,0,3600000,1259,29,210,15,36,159,-1/3,-1/2,1/12
cumulative,0,3600000,1277,17,204,14,38,152,-2/9,-2/9,-1/18
cumulative,0,3600000,1279,19,202,13,36,153,-1/15,-1/6,1/12
cumulative,0,3600000,1283,23,201,10,41,150,41/90,11/18,-1/24
cumulative,0,3600000,1289,29,197,11,37,149,7/30,2/9,5/72
cumulative,0,3600000,1291,1,194,12,35,147,1/45,-1/18,1/12
cumulative,0,3600000,1297,7,192,13,35,144,-8/45,-2/9,0
cumulative,0,3600000,1301,11,191,10,36,145,31/90,1/3,7/72
cumulative,0,3600000,1303,13,189,12,34,143,-1/30,-1/9,5/72
cumulative,0,3600000,1307,17,188,9,40,139,22/45,13/18,-1/9
cumulative,0,3600000,1319,29,183,10,34,139,23/90,2/9,7/72
cumulative,0,3600000,1321,1,181,8,36,137,53/90,2/3,5/72
cumulative,0,3600000,1327,7,178,11,33,134,1/45,0,1/36
cumulative,0,3600000,1361,11,164,9,31,124,2/9,2/9,1/18
cumulative,0,3600000,1367,17,163,11,32,120,-13/90,-1/18,-1/8
cumulative,0,3600000,1373,23,161,12,29,120,-31/90,-7/18,-1/24
cumulative,0,3600000,1381,1,157,12,27,118,-7/18,-1/2,1/72
cumulative,0,3600000,1399,19,153,9,29,115,1/10,1/9,1/72
cumulative,0,3600000,1409,29,151,7,28,116,13/30,7/18,11/72
cumulative,0,3600000,1423,13,145,9,27,109,1/90,0,1/72
cumulative,0,3600000,1427,17,144,8,31,105,8/45,7/18,-1/6
cumulative,0,3600000,1429,19,142,11,23,108,-17/45,-5/9,1/12
cumulative,0,3600000,1433,23,141,8,30,103,13/90,1/3,-11/72
cumulative,0,3600000,1439,29,139,7,25,107,3/10,2/9,11/72
cumulative,0,3600000,1447,7,138,7,27,104,13/45,1/3,1/36
cumulative,0,3600000,1451,11,137,10,21,106,-23/90,-1/2,13/72
cumulative,0,3600000,1453,13,136,6,27,103,4/9,1/2,1/18
cumulative,0,3600000,1459,19,133,8,25,100,1/18,1/18,1/72
cumulative,0,3600000,1471,1,130,7,25,98,1/5,2/9,1/36
cumulative,0,3600000,1481,11,126,5,23,98,23/45,4/9,7/36
cumulative,0,3600000,1483,13,125,8,21,96,-1/30,-1/6,1/8
cumulative,0,3600000,1487,17,123,7,27,89,11/90,1/3,-13/72
cumulative,0,3600000,1489,19,122,5,26,91,7/15,11/18,-1/36
cumulative,0,3600000,1493,23,120,10,22,88,-4/9,-4/9,-1/9
cumulative,0,3600000,1499,29,118,7,19,92,1/15,-1/9,7/36
cumulative,0,3600000,1511,11,113,5,19,89,11/30,2/9,17/72
cumulative,0,3600000,1523,23,109,7,23,79,-1/30,1/9,-11/72
cumulative,0,3600000,1531,1,107,6,22,79,11/90,2/9,-5/72
cumulative,0,3600000,1543,13,102,5,20,77,11/45,5/18,1/36
cumulative,0,3600000,1549,19,100,8,18,74,-14/45,-1/3,-1/18
cumulative,0,3600000,1553,23,99,5,22,72,19/90,7/18,-1/8
cumulative,0,3600000,1559,29,97,3,17,77,49/90,4/9,17/72
cumulative,0,3600000,1567,7,95,4,20,71,31/90,4/9,-1/72
cumulative,0,3600000,1571,11,92,5,13,74,2/15,-1/9,5/18
cumulative,0,3600000,1579,19,89,5,18,66,1/10,1/6,-1/24
cumulative,0,3600000,1583,23,88,6,19,63,-4/45,1/18,-1/6
cumulative,0,3600000,1597,7,84,3,18,63,2/5,1/2,0
cumulative,0,3600000,1601,11,82,4,13,65,1/5,1/18,7/36
cumulative,0,3600000,1607,17,80,5,16,59,0,1/18,-1/18
cumulative,0,3600000,1609,19,78,3,16,59,1/3,7/18,1/36
cumulative,0,3600000,1613,23,76,6,13,57,-2/9,-5/18,0
cumulative,0,3600000,1619,29,75,4,12,59,11/90,0,11/72
cumulative,0,3600000,1621,1,73,5,12,56,-7/90,-1/6,5/72
cumulative,0,3600000,1627,7,71,6,14,51,-5/18,-2/9,-1/8
cumulative,0,3600000,1637,17,68,4,12,52,2/45,0,1/18
cumulative,0,3600000,1657,7,66,7,11,48,-23/45,-5/9,-1/12
cumulative,0,3600000,1663,13,65,2,15,48,11/30,1/2,-1/24
cumulative,0,3600000,1667,17,63,4,11,48,-1/90,-1/18,1/24
cumulative,0,3600000,1669,19,62,4,10,48,-1/45,-1/9,1/12
cumulative,0,3600000,1693,13,55,2,12,41,23/90,1/3,-1/72
cumulative,0,3600000,1697,17,54,1,12,41,19/45,1/2,1/36
cumulative,0,3600000,1699,19,53,1,11,41,37/90,4/9,5/72
cumulative,0,3600000,1709,29,50,3,9,38,1/45,0,1/36
cumulative,0,3600000,1721,11,48,2,8,38,8/45,1/9,1/9
cumulative,0,3600000,1723,13,47,4,8,35,-17/90,-2/9,-1/72
cumulative,0,3600000,1733,23,42,3,8,31,-1/15,-1/18,-1/36
cumulative,0,3600000,1741,1,40,3,7,30,-4/45,-1/9,0
cumulative,0,3600000,1747,7,38,2,8,28,1/15,1/9,-1/36
cumulative,0,3600000,1753,13,37,4,5,28,-3/10,-7/18,1/72
cumulative,0,3600000,1759,19,35,4,5,26,-29/90,-7/18,-1/72
cumulative,0,3600000,1777,7,31,3,4,24,-17/90,-5/18,1/24
cumulative,0,3600000,1783,13,30,0,6,24,1/3,1/3,1/12
cumulative,0,3600000,1787,17,28,2,6,20,-2/45,0,-1/18
cumulative,0,3600000,1789,19,27,1,6,20,11/90,1/6,-1/72
cumulative,0,3600000,1801,1,23,0,4,19,23/90,2/9,7/72
cumulative,0,3600000,1811,11,20,2,4,14,-2/15,-1/9,-1/18
cumulative,0,3600000,1823,23,17,1,4,12,1/90,1/18,-1/24
cumulative,0,3600000,1831,1,15,2,1,12,-17/90,-5/18,1/24
cumulative,0,3600000,1847,17,13,0,3,10,13/90,1/6,1/72
cumulative,0,3600000,1861,1,11,0,1,10,11/90,1/18,7/72
cumulative,0,3600000,1867,7,8,0,1,7,4/45,1/18,1/18
cumulative,0,3600000,1871,11,7,0,2,5,7/90,1/9,-1/72
cumulative,0,3600000,1873,13,6,0,0,6,1/15,0,1/12
cumulative,0,3600000,1877,17,5,0,2,3,1/18,1/9,-1/24
cumulative,0,3600000,1879,19,4,0,0,4,2/45,0,1/18
cumulative,0,3600000,1889,29,1,0,1,0,1/90,1/18,-1/24
